logbook_id,work_site_id,site_event_id,year_of_record,month_of_record,day_of_record,record_date,site_name,site_owner,site_type_concept_id,site_status_concept_id,site_type_source_value,site_status_source_value
1,50096,,1996,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
2,50096,,1997,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
3,50096,,1998,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
4,50096,,1999,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
5,50096,,2000,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
6,50096,,2001,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
7,50096,,2002,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
8,50096,,2003,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
9,50096,,2004,,,,AFL Automotive, ALCOA/ Fujikura Joint,,,Plant,Active
10,50096,,2005,,,,AFL Automotive, ALCOA,,,Plant,Active
11,50096,,2006,,,,AFL Automotive, ALCOA,,,Plant,Active
12,50096,,2007,,,,AFL Automotive, ALCOA,,,Plant,Active
13,50096,,2008,,,,AFL Automotive, ALCOA,,,Plant,Active
14,50096,,2009,,,,AFL Automotive, ALCOA,,,Plant,Active
15,50096,,2010,,,,AFL Automotive, ALCOA,,,Plant,Active
16,50096,,2011,,,,AFL Automotive, ALCOA,,,Plant,Active
17,50096,,2012,,,,AFL Automotive, ALCOA,,,Plant,Active
18,50096,,2013,,,,AFL Automotive, ALCOA,,,Plant,Active
19,50062,,1996,,,,Global Hard Alloy Extrusions, ALUMAX,,,Plant,Active
20,50062,,1997,,,,Global Hard Alloy Extrusions, ALUMAX,,,Plant,Active
21,50062,,1998,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
22,50062,,1999,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
23,50062,,2000,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
24,50062,,2001,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
25,50062,,2002,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
26,50062,,2003,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
27,50062,,2004,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
28,50062,,2005,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
29,50062,,2006,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
30,50062,,2007,,,,Global Hard Alloy Extrusions, ALCOA,,,Plant,Active
