location_id,address_1,address_2,city,state,zip,county,location_source_value
40001,,,Arkadelphia,AR,,Clark,"AAY_Arkadelphia, AR (RMC - PATT)"
40002,,,Arkadelphia,AR,,Clark,"ABY_Arkadelphia, AR (RMC-GUMSPRG)"
40003,,,Acuna,,,,"ACU_Acuna, Mexico"
40004,,,Addy,WA,,Stevens,"ADD_Addy, Washington"
40005,,,El Paso,TX,,El Paso,"ADM_El Paso, Texas (58)"
40006,,,Afton,NY,,Chenango,"AFN_Afton, New York"
40007,,,Atlanta,GA,,,"AGH_Atlanta,Georgia(HomeExteriors)"
40008,,,Aichach,,,,"AHG_Aichach,Germany"
40009,,,Auburn,IN,,De Kalb,"AIY_Auburn, Indiana (RAMCO)"
40010,,,Avenel,NJ,,Middlesex,"AJY_Avenel, New Jersey (Ivex)"
40011,,,Amersham,,,,"AKY_Amersham, GBR (Reynolds)"
40012,,,Alcoa,TN,,Blount,"ALC_Alcoa, Tennessee"
40013,,,Alicante,,,,"ALI_Alicante, Spain"
40014,,,Amorebieta,,,,"AMO_Amorebieta, Spain"
40015,,,Amityville,NT,,,"AMY_Amityville, NY (ISAC)"
40016,,,Anglesea,,,,"ANG_Anglesea,Victoria,Australia"
40017,,,Altoona,PA,,Blair,"APK_Altoona, Pennsylvania (Huck)"
40018,,,Alphaville,,,,"APV_Alphaville, Brazil"
40019,,,Armonk,NY,,Westchester,"ARY_Armonk, New York (SGS)"
40020,,,Alcoa Center,PA,,,"ATC_Alcoa Center, Pennsylvania"
40021,,,Atlanta,GA,,,"ATL_Atlanta, Georgia"
40022,,,Atlanta,GA,,,"ATY_Atlanta, GA (SGS)"
40023,,,Auburn,WA,,King,"AUB_Auburn, Washington (ASL)"
40024,,,Atlanta,GA,,,AUX_Atlanta Service Center(Alumax)
40025,,,Aviles,,,,"AVS_Aviles, Spain"
40026,,,Appleton,WI,,Outagamie,"AWP_Appleton, Wisconsin (Presto)"
40027,,,Badin,NC,,Stanly,"BAD_Badin, North Carolina"
40028,,,Baltimore,MD,,,"BAL_Baltimore, Maryland"
40029,,,Banbury,,,,"BAN_Banbury, United Kingdom"
40030,,,Barcelona,,,,"BAR_Barcelona, Spain"
40031,,,Bauxite,AR,,Saline,"BAU_Bauxite, Arkansas"
40032,,,Bauxite,AR,,Saline,"BAX_Bauxite, Arkansas (Alcoa)"
40033,,,Branford,CT,,New Haven,"BCH_Branford, Conneticut (Howmet)"
40034,,,Billerica,MA,,Middlesex,"BCX_Billerica, Massachusetts (Alum"
40035,,,Beacon Falls,CT,,New Haven,"BCY_Beacon Falls, CT (Baker Ch)"
40036,,,Becancour,,,,"BEC_Becancour, Quebec, Canada"
40037,,,Beijing,,,,"BEI_Beijing, China"
40038,,,Bradenton,FL,,Manatee,"BFY_Bradenton, Florida (SGS)"
40039,,,Brighton,MI,,Livingston,"BGH_Brighton, Michigan"
40040,,,Birmingham,,,,"BIE_Birmingham, England"
40041,,,Bristol,IN,,Elkhart,"BIX_Bristol, Indiana (Alumax)"
40042,,,Burlington,VT,,Chittenden,"BLT_Burlington, Vermont"
40043,,,Baton Rouge,LA,,East Baton Rouge,"BLY_Baton Rouge, Louisiana (RMC)"
40044,,,Bolzano,,,,"BLZ_Bolzano, Italy"
40045,,,Battle Creek,MI,,Calhoun,"BMY_Battle Creek, Michigan (SGS)"
40046,,,Blue Ash,OH,,,"BOH_Blue Ash, Ohio (Howmet)"
40047,,,Booragoon,,,,"BOO_Booragoon, Australia"
