work_site_id,location_id,work_site_source_value
50001,40001,AAY
50002,40002,ABY
50003,40003,ACU
50004,40004,ADD
50005,40005,ADM
50006,40006,AFN
50007,40007,AGH
50008,40008,AHG
50009,40009,AIY
50010,40010,AJY
50011,40011,AKY
50012,40012,ALC
50013,40013,ALI
50014,40014,AMO
50015,40015,AMY
50016,40016,ANG
50017,40017,APK
50018,40018,APV
50019,40019,ARY
50020,40020,ATC
50021,40021,ATL
50022,40022,ATY
50023,40023,AUB
50024,40024,AUX
50025,40025,AVS
50026,40026,AWP
50027,40027,BAD
50028,40028,BAL
50029,40029,BAN
50030,40030,BAR
50031,40031,BAU
50032,40032,BAX
50033,40033,BCH
50034,40034,BCX
50035,40035,BCY
50036,40036,BEC
50037,40037,BEI
50038,40038,BFY
50039,40039,BGH
50040,40040,BIE
50041,40041,BIX
50042,40042,BLT
50043,40043,BLY
50044,40044,BLZ
50045,40045,BMY
50046,40046,BOH
50047,40047,BOO
50048,40048,BPH
50049,40049,BPX
50050,40050,BQY
50051,40051,BRB
50052,40052,BRJ
50053,40053,BRX
50054,40054,BTW
50055,40055,BTX
50056,40056,BUA
50057,40057,BWI
50058,40058,BWY
50059,40059,CAC
50060,40060,CBY
50061,40061,CCK
50062,40062,CDL
50063,40063,CEX
50064,40064,CFL
50065,40065,CFV
50066,40066,CGE
50067,40067,CGY
50068,40068,CHI
50069,40069,CHP
50070,40070,CHW
50071,40071,CHX
50072,40072,CIN
50073,40073,CLC
50074,40074,CLE
50075,40075,CLH
50076,40076,CLI
50077,40077,CLR
50078,40078,CLS
50079,40079,CLX
50080,40080,CMY
50081,40081,CNC
50082,40082,COA
50083,40083,COH
50084,40084,COP
50085,40085,CRA
50086,40086,CRL
50087,40087,CRX
50088,40088,CRY
50089,40089,CSY
50090,40090,CTP
50091,40091,CTX
50092,40092,CWY
50093,40093,DAL
50094,40094,DAN
50095,40095,DAV
50096,40096,DBN
50097,40097,DCH
50098,40098,DEL
50099,40099,DET
50100,40100,DEX
50101,40101,DJY
50102,40102,DKY
50103,40103,DLT
50104,40104,DLY
50105,40105,DMX
50106,40106,DNH
50107,40107,DNL
50108,40108,DNS
50109,40109,DPM
50110,40110,DPY
50111,40111,DRO
50112,40112,DRT
50113,40113,DRU
50114,40114,DTI
50115,40115,DUB
50116,40116,ECH
50117,40117,EEH
50118,40118,EFY
50119,40119,EGY
50120,40120,EIY
50121,40121,EKF
50122,40122,ENG
50123,40123,ENS
50124,40124,ENY
50125,40125,EOY
50126,40126,EPC
50127,40127,EPC
50128,40128,EPY
50129,40129,ETX
50130,40130,FDM
50131,40131,FEY
50132,40132,FHN
50133,40133,FIX
50134,40134,FMX
50135,40135,FMY
50136,40136,FRK
50137,40137,FRU
50138,40138,FSI
50139,40139,FTM
50140,40140,FTN
50141,40141,FUL
50142,40142,FUN
50143,40143,FUS
50144,40144,FWX
50145,40145,FYY
50146,40146,GAF
50147,40147,GCX
50148,40148,GEN
50149,40149,GEY
50150,40150,GFY
50151,40151,GGY
50152,40152,GHY
50153,40153,GIY
50154,40154,GLV
50155,40155,GNS
50156,40156,GPY
50157,40157,GRM
50158,40158,GSX
50159,40159,GTS
50160,40160,GVY
50161,40161,GXY
50162,40162,HAR
50163,40163,HIG
50164,40164,HKO
50165,40165,HKY
50166,40166,HMX
50167,40167,HNR
50168,40168,HOT
